id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,closest_station,stop_id,station,line__001,line__002,ll__001,ll__002,closest_station_distance,closest_station_1km,closest_station_2km,closest_station_3km,closest_station_4km,closest_station_5km,closest_station_10km,x,y
19650995,Home away from home on Washburn street #2.,66554696,Paul,,Dorchester,42.324665033828545,-71.05859256142809,Private room,99,1,32,2018-11-18,1.76,2,172,Andrew Station,112,Andrew Station,red,,42.330159,-71.057456,0.6180049317605213,Andrew Station,Andrew Station,Andrew Station,Andrew Station,Andrew Station,Andrew Station,1398.0,1130.0
19653917,"Modern 4BR, Boston w/Parking, BCEC, Roof Deck",17406884,Vivek,,South Boston,42.33660655925612,-71.02712006064665,Entire home/apt,430,2,74,2019-01-05,4.03,1,285,Broadway Station,111,Broadway Station,red,,42.342785,-71.056898,2.5420834211675154,,,Broadway Station,Broadway Station,Broadway Station,Broadway Station,1398.0,1055.0
19655359,Furnished Studio Boston apt. Olmstead Park,30283594,Kara,,Jamaica Plain,42.329247341604045,-71.11179312711894,Entire home/apt,111,1,0,,,151,194,Back of the Hill Station,226,Back of the Hill Station,green,,42.330141,-71.11138299999998,0.10493378467301767,Back of the Hill Station,Back of the Hill Station,Back of the Hill Station,Back of the Hill Station,Back of the Hill Station,Back of the Hill Station,613.0,1195.0
19655883,Furnished&Stylish 1 BR apt in the heart of Boston!,30283594,Kara,,Jamaica Plain,42.328494050928114,-71.11038478432201,Entire home/apt,133,1,1,2017-09-29,0.06,151,185,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.022282914158346937,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19655960,Nice clean room to stay,78195008,Alen,,Roxbury,42.324747605744975,-71.08763817405763,Private room,79,1,11,2018-11-11,0.65,1,261,Roxbury Crossing Station,145,Roxbury Crossing Station,orange,,42.331428,-71.095613,0.9907467536947632,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,850.0,1210.0
19656368,Fenway 1-BR Apt w/ Lobby-Level Retail + Pool & Gym,30283594,Kara,,Jamaica Plain,42.328845261439106,-71.11078289150022,Entire home/apt,249,1,0,,,151,233,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.029159203296103105,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19658035,Newly Renovated 1BR Apartment Minutes to Airport,5277243,Chris,,East Boston,42.370375238875276,-71.03245976245624,Entire home/apt,149,1,7,2018-04-16,0.52,1,0,Airport Station,156,Airport Station,blue,,42.37404,-71.030401,0.4412049721023724,Airport Station,Airport Station,Airport Station,Airport Station,Airport Station,Airport Station,1547.0,469.0
19661845,Top of the Hill/BACKBAY,41538684,J.,,Back Bay,42.35086890391385,-71.08607793371442,Entire home/apt,70,3,92,2019-01-03,5.06,1,126,Hynes Convention Center,171,Hynes Convention Center,green,,42.347939,-71.087939,0.3599028198667721,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,797.0,812.0
19670771,"Clean Two Bedroom Apartment, Free Parking & Wi-Fi.",80986054,Eric,,Roxbury,42.31186310268023,-71.08684822667709,Entire home/apt,55,1,184,2019-01-11,9.87,1,14,Stony Brook Station,147,Stony Brook Station,orange,,42.317213,-71.104754,1.587928629872901,,Stony Brook Station,Stony Brook Station,Stony Brook Station,Stony Brook Station,Stony Brook Station,715.0,1346.5
19672185,3rd Floor Efficiency Perfect for City Explorers,16284736,Jordan,,East Boston,42.374795728097226,-71.03404083589552,Entire home/apt,165,1,160,2019-01-04,8.65,5,67,Airport Station,156,Airport Station,blue,,42.37404,-71.030401,0.31058212954648384,Airport Station,Airport Station,Airport Station,Airport Station,Airport Station,Airport Station,1547.0,469.0
19674739,NEU Campus apartment,77366642,Eva,,Fenway,42.34518274939741,-71.08996319323923,Private room,98,3,1,2017-07-31,0.06,1,0,Massachusetts Avenue Station,143,Massachusetts Avenue Station,orange,,42.34790200000001,-71.087973,0.34376915606182445,Massachusetts Avenue Station,Massachusetts Avenue Station,Massachusetts Avenue Station,Massachusetts Avenue Station,Massachusetts Avenue Station,Massachusetts Avenue Station,955.0,1105.0
19680116,Furnished room in Oak square,25016309,Amelia,,Brighton,42.3538659851188,-71.15949673590931,Private room,38,1,2,2017-09-03,0.11,1,0,South Street Station,189,South Street Station,green,,42.339575,-71.158426,1.5915195429134998,,South Street Station,South Street Station,South Street Station,South Street Station,South Street Station,134.0,786.0
19691987,Charming 3BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.3561931959538,-71.06087126219269,Entire home/apt,268,2,26,2019-01-02,1.6,309,108,Downtown Crossing Station,109,Downtown Crossing Station,red,orange,42.355631,-71.06045999999998,0.07106285959460458,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,1250.0,810.0
19694238,2/1 Newly Furnished Condo By Public Transit (21D1),3594203,Shawn,,Roxbury,42.31892828024986,-71.07481758932181,Entire home/apt,129,1,38,2018-11-11,2.07,11,224,JFK/UMass Station,113,JFK/UMass Station,red,,42.320895,-71.052177,1.874248323317404,,JFK/UMass Station,JFK/UMass Station,JFK/UMass Station,JFK/UMass Station,JFK/UMass Station,1398.0,1225.0
19694265,Hip 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35598651077525,-71.0609170782198,Entire home/apt,230,2,14,2018-11-26,0.8,309,106,Downtown Crossing Station,109,Downtown Crossing Station,red,orange,42.355631,-71.06045999999998,0.05452824354173103,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,1250.0,810.0
