id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30507603,Simple Studio in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34456714120808,-71.10306834851737,Entire home/apt,131,2,0,,,58,328
30507606,Intimate 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.343162602677594,-71.10122695119202,Entire home/apt,151,2,0,,,58,277
30507608,Sharp 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.3431152904505,-71.10174490695552,Entire home/apt,148,2,0,,,58,302
30507621,Hip 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36288542458953,-71.13126017367465,Entire home/apt,148,2,0,,,58,338
30509416,Cozy Three Bedroom Apt in the North End!,1118374,Matthew,,North End,42.365779078312904,-71.05397799394328,Entire home/apt,147,1,9,2019-01-13,6.59,39,246
30509739,Romantic 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34398248349963,-71.10218290636341,Entire home/apt,148,2,0,,,58,331
30509913,Smart 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Chinatown,42.35183268186097,-71.06272056407508,Entire home/apt,201,2,0,,,58,345
30509948,Classic 1BR in Brighton by Sonder,224829568,Sonder (Boston),,Brighton,42.349200291773705,-71.14867566262625,Entire home/apt,121,2,0,,,58,308
30511066,Luxurious 3BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34312787700781,-71.10158199225278,Entire home/apt,242,2,0,,,58,273
30511900,Private Room in Heart of Historic North End,11082611,Amanda,,North End,42.36363752039541,-71.05701948044344,Private room,75,7,0,,,2,154
30514391,North End One Bedroom Apartment w/ futon couch!,1118374,Matthew,,North End,42.36349746917281,-71.05608197154557,Entire home/apt,202,1,7,2019-01-13,5.25,39,206
30516467,"Airy studio in Southie w/ Gym, Doorman by Blueground (BOS 17)",107434423,Blueground,,South Boston Waterfront,42.3414119319089,-71.04870203219795,Entire home/apt,118,30,0,,,37,293
30523091,Luxury 3 BR |1 Bath Apartment near Seaport/BCEC,161161895,Shelby,,South Boston,42.33303114758227,-71.04034336173713,Entire home/apt,246,1,1,2019-01-01,1,2,149
30531574,Up to 16 Guests in This Bay Village Gem Duplex!,43613912,Drew,,Bay Village,42.34850189202164,-71.06923256962246,Entire home/apt,299,1,0,,,6,33
